Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,ExperimentIdx,Mean [us],Error [us],StdDev [us],Scaled,ScaledSD,Gen 0,Allocated [KB]
'C# safe',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.4597,0.0049,0.0045,1.00,0.00,0.0505,0.21
'C# unsafe1',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.4154,0.0019,0.0018,0.90,0.01,-,0
'C# unsafe2',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.3359,0.0042,0.0039,0.73,0.01,-,0
'Native C: dummy call',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.0915,0.0007,0.0006,0.20,0.00,-,0
'Native C',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.4923,0.0044,0.0041,1.07,0.01,-,0
'F# imperative',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,1.0615,0.0039,0.0036,2.31,0.02,0.1526,0.63
'F# functional',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,1.2389,0.0063,0.0059,2.70,0.03,0.2880,1.19
'C# safe',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.4888,0.0025,0.0022,1.00,0.00,0.0505,0.21
'C# unsafe1',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.3080,0.0034,0.0032,0.63,0.01,-,0
'C# unsafe2',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.3317,0.0026,0.0025,0.68,0.01,-,0
'Native C: dummy call',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.0964,0.0005,0.0004,0.20,0.00,-,0
'Native C',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.4879,0.0045,0.0042,1.00,0.01,-,0
'F# imperative',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.8846,0.0051,0.0048,1.81,0.01,0.1535,0.63
'F# functional',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,1.0962,0.0090,0.0084,2.24,0.02,0.2880,1.19
'C# safe',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,11.0731,0.1302,0.1218,1.00,0.00,0.1373,0.61
'C# unsafe1',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,9.7895,0.0480,0.0426,0.88,0.01,-,0
'C# unsafe2',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,7.5559,0.1184,0.1107,0.68,0.01,-,0
'Native C: dummy call',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,0.1596,0.0009,0.0008,0.01,0.00,-,0
'Native C',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,6.1609,0.1151,0.1077,0.56,0.01,-,0
'F# imperative',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,17.4311,0.0688,0.0574,1.57,0.02,0.3357,1.45
'F# functional',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,18.5296,0.3272,0.3061,1.67,0.03,0.8850,3.65
'C# safe',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,10.9215,0.0472,0.0441,1.00,0.00,0.1373,0.61
'C# unsafe1',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,7.0417,0.1142,0.1013,0.64,0.01,-,0
'C# unsafe2',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,7.4460,0.0673,0.0629,0.68,0.01,-,0
'Native C: dummy call',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,0.1592,0.0014,0.0013,0.01,0.00,-,0
'Native C',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,6.1376,0.0446,0.0417,0.56,0.00,-,0
'F# imperative',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,12.5837,0.0674,0.0630,1.15,0.01,0.3510,1.45
'F# functional',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,15.8036,0.2044,0.1912,1.45,0.02,0.8850,3.65
'C# safe',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2,60.4825,0.2429,0.2272,1.00,0.00,0.2441,1.27
'C# unsafe1',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2,52.8213,0.4741,0.4434,0.87,0.01,-,0
'C# unsafe2',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2,38.9279,0.2924,0.2735,0.64,0.00,-,0
'Native C: dummy call',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2,0.2699,0.0023,0.0022,0.00,0.00,-,0
'Native C',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2,30.8310,0.1624,0.1440,0.51,0.00,-,0
'F# imperative',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2,81.9219,0.6261,0.5857,1.35,0.01,0.6104,2.63
'F# functional',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2,87.6787,0.6100,0.5093,1.45,0.01,1.7090,7.41
'C# safe',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2,60.7001,0.7204,0.6739,1.00,0.00,0.3052,1.27
'C# unsafe1',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2,41.0255,0.2170,0.1694,0.68,0.01,-,0
'C# unsafe2',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2,38.9986,0.1086,0.0907,0.64,0.01,-,0
'Native C: dummy call',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2,0.2758,0.0009,0.0008,0.00,0.00,-,0
'Native C',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2,31.0453,0.3235,0.3026,0.51,0.01,-,0
'F# imperative',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2,64.1982,0.9304,0.8703,1.06,0.02,0.6104,2.63
'F# functional',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2,75.2170,0.3196,0.2669,1.24,0.01,1.7090,7.41
'C# safe',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,3,"1,571.1400",10.3678,8.6576,1.00,0.00,-,5.96
'C# unsafe1',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,3,"1,484.3027",7.4068,6.5659,0.94,0.01,-,0
'C# unsafe2',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,3,996.6937,7.7249,7.2258,0.63,0.01,-,0
'Native C: dummy call',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,3,1.0444,0.0054,0.0051,0.00,0.00,-,0
'Native C',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,3,896.9181,9.0024,8.4209,0.57,0.01,-,0
'F# imperative',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,3,"2,005.2003",11.0656,9.8094,1.28,0.01,-,10.38
'F# functional',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,3,"2,170.1372",18.3392,16.2572,1.38,0.01,7.8125,33.91
'C# safe',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,3,"1,598.8547",8.6733,8.1130,1.00,0.00,-,5.97
'C# unsafe1',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,3,"1,201.6805",7.9652,7.4507,0.75,0.01,-,0
'C# unsafe2',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,3,"1,003.6740",4.7498,4.4429,0.63,0.00,-,0
'Native C: dummy call',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,3,1.0440,0.0056,0.0053,0.00,0.00,-,0
'Native C',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,3,894.2917,5.3373,4.9925,0.56,0.00,-,0
'F# imperative',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,3,"1,612.1605",9.7534,8.6461,1.01,0.01,1.9531,10.38
'F# functional',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,3,"1,914.9871",5.2304,4.6366,1.20,0.01,7.8125,33.89
'C# safe',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,"5,883.7669",40.1293,37.5369,1.00,0.00,-,11.88
'C# unsafe1',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,"5,278.3773",63.1138,59.0367,0.90,0.01,-,0
'C# unsafe2',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,"3,600.1878",24.0796,22.5241,0.61,0.01,-,0
'Native C: dummy call',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,1.8367,0.0161,0.0150,0.00,0.00,-,0
'Native C',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,"3,248.4682",23.8959,22.3523,0.55,0.01,-,0
'F# imperative',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,"7,639.8089",29.1523,25.8428,1.30,0.01,-,20.31
'F# functional',LegacyJitX64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,"8,270.9335",58.4712,54.6940,1.41,0.01,15.6250,67.31
'C# safe',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,"5,713.7735",42.7748,40.0115,1.00,0.00,-,11.88
'C# unsafe1',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,"4,079.6617",30.1037,28.1590,0.71,0.01,-,0
'C# unsafe2',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,"3,550.4593",30.1393,28.1923,0.62,0.01,-,0
'Native C: dummy call',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,1.8298,0.0151,0.0142,0.00,0.00,-,0
'Native C',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,"3,193.8744",18.5549,17.3563,0.56,0.00,-,0
'F# imperative',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,"5,842.4382",49.6602,46.4522,1.02,0.01,-,20.31
'F# functional',RyuJitX64,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,"6,885.2900",52.2004,48.8283,1.21,0.01,15.6250,67.25
